Avishka Gunawardene
Daryll Cullinan
Nehemiah Perry
Stuart Carlisle
Vijay Bharadwaj
Saeed Anwar
Matthew Horne
Chris Harris
Paul Strang
Marcus Trescothick
Yuvraj Singh
Akram Khan
Roger Twose
Robin Singh
Mark Waugh
Nikhil Chopra
Lance Klusener
Heath Streak
Ijaz Ahmed, sen.
Sachin Tendulkar
Andrew Symonds
Russel Arnold
Kumar Sangakkara
Vinod Kambli
Shahid Afridi
Chris Gayle
Alistair Campbell
Sourav Ganguly
Mohammad Azharuddin
Thomas Odoyo
Gavin Rennie
Ajit Agarkar
Ravindu Shah
Mark Ealham
Rahul Dravid
Kumar Dharmasena
Hemang Badani
Herschelle Gibbs
Brian Lara
Mark Boucher
Adam Parore
Mohammad Wasim
Philo Wallace
Aamir Sohail
Grant Flower
Neil McKenzie
Moin Khan
Gavin Hamilton
Mehrab Hossain
Shaun Pollock
Klaas van Noortwijk
Azhar Mahmood
Guy Whittall
Chris Cairns
Steve Waugh
Shoaib Akhtar
Steven Tikolo
Inzamam-ul-Haq
Hitesh Modi
Jacques Kallis
Marvan Atapattu
Damien Fleming
Hashan Tillekeratne
Shane Lee
Jonty Rhodes
Shahriar Hossain
Kennedy Otieno
Ricardo Powell
Craig Spearman
Ricky Ponting
Craig Evans
Alistair Brown
Imran Nazir
Chris Nevin
Chaminda Vaas
Darren Lehmann
Carl Hooper
Jimmy Adams
Abdul Razzaq
Graham Thorpe
Gary Kirsten
Nick Knight
Stephen Fleming
Javed Omer
Romesh Kaluwitharana
Dale Benkenstein
Wajahatullah Wasti
Mohammad Yousuf
Mahela Jayawardene
Adam Gilchrist
Andrew Flintoff
Craig Wishart
Graeme Hick
Salim Elahi
Shane Warne
Shivnarine Chanderpaul
Aravinda de Silva
Nathan Astle
Aminul Islam
Matthew Hayden
Nicky Boje
Hansie Cronje
Wasim Akram
Nayan Mongia
Tillekeratne Dilshan
Alec Stewart
Maurice Odumbe
Neil Johnson
Boeta Dippenaar
Sunil Joshi
Michael Bevan
Younus Khan
Ajay Jadeja
Craig McMillan
Andrew Hall
Sanath Jayasuriya
Andy Flower
Sherwin Campbell
Murray Goodwin
Wavell Hinds
Clayton Lambert
Upul Chandana
Ridley Jacobs
Naimur Rahman
Damien Martyn
Nasser Hussain
